  1362133926937J  27310211122225332 0 063 05120901 01121000011213 6434362 00002 0 00001 398 0 01 498 0 02 41 412122722121223 11 0 00001000CA20 00 51252211113212
  1372138966737H1032021111212224231421131 84213212 8000014211421649302251232102 0 000012798 0 03 0 0 0 00 00 002021122771222 00 0 0228 671ZZ08 12 45152321310111
  1382137485637H2217020122021225222 0 013 03120902 20000112311236 3301 1123102126231021 398 0 01 498 0 02391 232121112212123 11 0 00001000CA10 00 64230211113212
  1392135796637H  43340122022227232 0 073 04111001 0132100001321163302 11 72102 0 00003 0 0 0 03 0 0 0 00 00 001112122121113170 0 0128 712ZZ08 00 63240311210212
  1402136356837N5401020422022221332 0 013 03416001 0500100005001115104162 0000146432403 0 0 0 03 0 0 0 00 00 002111111211121 00 0 0128 602ZZ08 00 12210311210212
  1414152366513N  37100411122122332 0 032 16411001 0500300005003118104 12 00002 0 00003 0 0 0 03 0 0 0 00 00 001121112111222 1213 10001000DC02 00  4228321312212
  1422092335219H     9112112222132115 113 02215001 0500300005003163301312 00002 0 000012598 0 03 0 0 0 00 00 001122172212273 12 2 20001000TX02 00 17100321312212
  1432137986637N  46151422022222332 0 013 0512090210000011231123618104 42 00002 0 00003 0 0 0 03 0 0 0 00 00 002172172212223 00 0 0118 842ZZ08 50 61200311110111
  1442138996737N1032021411222226332 0 032 54214001 0122300001223114104411241022 0 000014698 0 0198 0 0 00 00 001111212121123 11 0 00001000WA02 00 29162311113212
  1454152366513H  37100111222220322 0 013 06215311 01121000011211 3301312 00002 0 00003 0 0 0 03 0 0 0 02422 032211212112122 11 0 00001000CO02 00 44162312313212
  1462136816637N  46151411122222322 0 031153612112 30000112811202 1204122 000013119240198 0 0 03 0 0 0 08 01 421121112721123 11 0 00001000IN01 00 57141321213212
  14741526165 1N  40640411122222331471163 06212111 01223000012232 1204 91312402 0 000011998 0 03 0 0 0 01 01 122122121112113 00 0 0128  01ZZ08972 63161312310111
  1486196978073N  31031411122223332 0 031 64211002 40000172117212 1204312 00002 0 00003 0 0 0 0198 0 0 02 41 132111111211121 11 0 00001000TX01 00 45171321313212
  1492137495637A  22641222022226332 0 031 64120902 20000182318233 5424 11131082 0 00003 0 0 0 03 0 0 0 03 02 031111112221123 12 4 60001000CA10 00 63160211212212
  1504154394913H313201111111222233150 913 04212111 0152100001521661302311232402 0 0000126 398 01 498 0 00 00 002112122112113 00 0 0118  01ZZ08 00 47168311110212
  1512137355637H2217020122022220132 0 032131213381 01823000018236 3301311988002 0 00001982598 012598 0 08 01 427112222212111 00 0 0218 761ZZ08 10 50220323410111
  1526192978073H  93040111222226232 0 013 06120902 2000013231323125104312 00002 0 00001 398 0 03 0 0 0 00 00 002212121121113 11 0 00001000CA20 00 61282311113212
  1534154324913N313102041111222133151 231 64120902 600001128112066330136131240126988001 398 0 01 498 0 00 00 002121111222113 20 0 0122 621ZZ08 12 61101322321111
